Rank,Player,2022/23,2022/23(*)
1.,Stephen Curry,"$48,070,014","$50,968,059"
2.,John Wall,"$47,345,760","$50,200,141"
3.,Russell Westbrook,"$47,080,179","$49,918,548"
4.,LeBron James,"$44,474,988","$47,156,296"
5.,Kevin Durant,"$44,119,845","$46,779,742"
6.,Bradley Beal,"$43,279,250","$45,888,469"
7.,Kawhi Leonard,"$42,492,492","$45,054,279"
7.,Paul George,"$42,492,492","$45,054,279"
7.,Giannis Antetokounmpo,"$42,492,492","$45,054,279"
7.,Damian Lillard,"$42,492,492","$45,054,279"
11.,Klay Thompson,"$40,600,080","$43,047,777"
12.,Kyrie Irving,"$38,917,057","$41,263,288"
13.,Rudy Gobert,"$38,172,414","$40,473,752"
14.,Khris Middleton,"$37,984,276","$40,274,272"
15.,Anthony Davis,"$37,980,720","$40,270,501"
16.,Jimmy Butler,"$37,653,300","$39,923,342"
17.,Tobias Harris,"$37,633,050","$39,901,871"
18.,Kemba Walker,"$37,281,261","$39,528,872"
19.,Trae Young,"$37,096,500","$39,332,974"
19.,Zach LaVine,"$37,096,500","$39,332,974"
19.,Luka Doncic,"$37,096,500","$39,332,974"
22.,Ben Simmons,"$35,448,672","$37,585,801"
22.,Pascal Siakam,"$35,448,672","$37,585,801"
24.,Myles Turner,"$35,096,500","$37,212,398"
25.,Jrue Holiday,"$34,319,520","$36,388,575"
26.,Karl-Anthony Towns,"$33,833,400","$35,873,148"
26.,Devin Booker,"$33,833,400","$35,873,148"
26.,Kristaps Porzingis,"$33,833,400","$35,873,148"
29.,Andrew Wiggins,"$33,616,770","$35,643,458"
29.,Joel Embiid,"$33,616,770","$35,643,458"
31.,CJ McCollum,"$33,333,333","$35,342,933"
32.,Nikola Jokic,"$33,047,803","$35,040,189"
33.,James Harden,"$33,000,000","$34,989,504"
34.,Jamal Murray,"$31,650,600","$33,558,751"
34.,Brandon Ingram,"$31,650,600","$33,558,751"
36.,D'Angelo Russell,"$31,377,750","$33,269,452"
37.,Donovan Mitchell,"$30,913,750","$32,777,478"
37.,Michael Porter,"$30,913,750","$32,777,478"
37.,Shai Gilgeous-Alexander,"$30,913,750","$32,777,478"
37.,Deandre Ayton,"$30,913,750","$32,777,478"
41.,Kevin Love,"$30,556,968","$32,399,186"
42.,Jayson Tatum,"$30,351,780","$32,181,628"
42.,Bam Adebayo,"$30,351,780","$32,181,628"
42.,De'Aaron Fox,"$30,351,780","$32,181,628"
45.,Gordon Hayward,"$30,075,000","$31,888,161"
46.,Jaylen Brown,"$29,776,785","$31,571,968"
47.,Jaren Jackson Jr,"$28,946,605","$30,691,738"
48.,Chris Paul,"$28,400,000","$30,112,179"
49.,Kyle Lowry,"$28,333,334","$30,041,494"
50.,Jalen Brunson,"$27,733,332","$29,405,319"
51.,DeMar DeRozan,"$27,300,000","$28,945,862"
52.,Al Horford,"$26,500,000","$28,097,632"
53.,Draymond Green,"$25,806,468","$27,362,288"
54.,Julius Randle,"$23,760,000","$25,192,443"
55.,John Collins,"$23,500,000","$24,916,768"
56.,Mike Conley,"$22,680,000","$24,047,332"
57.,Malcolm Brogdon,"$22,600,000","$23,962,508"
58.,Anfernee Simons,"$22,321,429","$23,667,143"
59.,Nikola Vucevic,"$22,000,000","$23,326,336"
60.,Terry Rozier,"$21,486,316","$22,781,683"
61.,Fred VanVleet,"$21,250,000","$22,531,120"
62.,Buddy Hield,"$21,177,750","$22,454,514"
63.,Domantas Sabonis,"$21,100,000","$22,372,076"
64.,Jerami Grant,"$20,955,000","$22,218,335"
65.,Aaron Gordon,"$20,690,909","$21,938,322"
66.,Mikal Bridges,"$20,100,000","$21,311,788"
67.,Jarrett Allen,"$20,000,000","$21,205,760"
68.,Nicolas Batum,"$19,700,319","$20,888,011"
69.,Tim Hardaway Jr,"$19,602,273","$20,784,054"
70.,Eric Gordon,"$19,568,360","$20,748,097"
71.,Bojan Bogdanovic,"$19,550,000","$20,728,630"
72.,Lonzo Ball,"$19,534,884","$20,712,603"
73.,Spencer Dinwiddie,"$19,500,000","$20,675,616"
74.,Danilo Gallinari,"$19,479,000","$20,653,350"
75.,Caris LeVert,"$18,796,296","$19,929,487"
76.,Joe Harris,"$18,642,857","$19,766,797"
77.,Harrison Barnes,"$18,352,273","$19,458,694"
78.,Clint Capela,"$18,206,896","$19,304,553"
79.,Bogdan Bogdanovic,"$18,000,000","$19,085,184"
79.,Evan Fournier,"$18,000,000","$19,085,184"
81.,Steven Adams,"$17,926,829","$19,007,601"
82.,Jonathan Isaac,"$17,400,000","$18,449,011"
83.,OG Anunoby,"$17,357,143","$18,403,570"
84.,Gary Trent Jr,"$17,280,000","$18,321,776"
85.,Marcus Smart,"$17,207,142","$18,244,526"
86.,Derrick White,"$17,142,857","$18,176,365"
87.,Dejounte Murray,"$17,071,120","$18,100,303"
88.,Mitchell Robinson,"$17,045,454","$18,073,090"
89.,Duncan Robinson,"$16,902,000","$17,920,987"
90.,Norman Powell,"$16,758,621","$17,768,964"
